type,size,iterations,time,num_replicas
interacting,100,2393.0,0.17959117889404297,5
non_interacting,100,1708.0,0.12995600700378418,5
standard,100,908.0,0.06576085090637207,1
interacting,100,4814.0,0.35396385192871094,5
non_interacting,100,2722.0,0.1975693702697754,5
standard,100,447.0,0.03385043144226074,1
interacting,100,1811.0,0.13483333587646484,5
non_interacting,100,1174.0,0.0906827449798584,5
standard,100,1149.0,0.08496999740600586,1
interacting,100,1430.0,0.10712647438049316,5
non_interacting,100,972.0,0.07572340965270996,5
standard,100,511.0,0.03722715377807617,1
interacting,100,4754.0,0.3538212776184082,5
non_interacting,100,2594.0,0.1894984245300293,5
standard,100,1190.0,0.08647489547729492,1
interacting,100,2114.0,0.15547704696655273,5
non_interacting,100,2281.0,0.1708076000213623,5
standard,100,1610.0,0.1176295280456543,1
interacting,100,1609.0,0.12308168411254883,5
non_interacting,100,952.0,0.07270455360412598,5
standard,100,1064.0,0.0796356201171875,1
interacting,200,54829.0,4.147906064987183,5
non_interacting,200,26932.0,2.069211721420288,5
standard,200,3852.0,0.29573845863342285,1
interacting,200,23614.0,1.8219497203826904,5
non_interacting,200,11209.0,0.8768458366394043,5
standard,200,3761.0,0.2846057415008545,1
interacting,200,31016.0,2.365158796310425,5
non_interacting,200,19189.0,1.4755735397338867,5
standard,200,6722.0,0.4926109313964844,1
interacting,200,30586.0,2.323361396789551,5
non_interacting,200,16949.0,1.3256287574768066,5
standard,200,5458.0,0.42498326301574707,1
interacting,200,16672.0,1.2954890727996826,5
non_interacting,200,12952.0,1.012540578842163,5
standard,200,6259.0,0.47353434562683105,1
interacting,200,130860.0,9.737962245941162,5
non_interacting,200,32314.0,2.4831013679504395,5
standard,200,6067.0,0.44889211654663086,1
interacting,200,20533.0,1.595383882522583,5
non_interacting,200,22652.0,1.766085147857666,5
standard,200,5425.0,0.4001424312591553,1
interacting,300,48814.0,3.9845480918884277,5
non_interacting,300,46728.0,3.8243958950042725,5
standard,300,9408.0,0.7400751113891602,1
interacting,300,47205.0,3.846186637878418,5
non_interacting,300,47680.0,3.9289276599884033,5
standard,300,16536.0,1.2924857139587402,1
interacting,300,73999.0,5.997671365737915,5
non_interacting,300,39083.0,3.227607011795044,5
standard,300,9509.0,0.7502131462097168,1
interacting,300,55313.0,4.4970927238464355,5
non_interacting,300,21494.0,1.7649013996124268,5
standard,300,7212.0,0.5670840740203857,1
interacting,300,123840.0,9.970712900161743,5
non_interacting,300,31306.0,2.5651955604553223,5
standard,300,21400.0,1.643972396850586,1
interacting,300,58652.0,4.779189348220825,5
non_interacting,300,34963.0,2.887620687484741,5
standard,300,13554.0,1.0472335815429688,1
interacting,300,100016.0,8.021981954574585,5
non_interacting,300,37167.0,3.02897047996521,5
standard,300,13080.0,1.006981611251831,1
interacting,400,230387.0,19.735103368759155,5
non_interacting,400,43776.0,3.850423574447632,5
standard,400,17040.0,1.405573844909668,1
interacting,400,118652.0,10.285994529724121,5
non_interacting,400,79220.0,6.9163124561309814,5
standard,400,14777.0,1.2259118556976318,1
interacting,400,177964.0,15.279099464416504,5
non_interacting,400,68962.0,5.9816038608551025,5
standard,400,15529.0,1.2760124206542969,1
interacting,400,91479.0,7.936114311218262,5
non_interacting,400,57271.0,4.985046863555908,5
standard,400,8241.0,0.6875927448272705,1
interacting,400,86749.0,7.533911466598511,5
non_interacting,400,53983.0,4.692653179168701,5
standard,400,,,1
interacting,400,170674.0,15.05562448501587,5
non_interacting,400,116800.0,10.210217952728271,5
standard,400,30975.0,2.494476556777954,1
interacting,400,83371.0,7.160133361816406,5
non_interacting,400,104548.0,9.006067752838135,5
standard,400,19491.0,1.5896360874176025,1
