type,alpha,epochs,error_rate
interacting,0.1,3,0.0
non_interacting,0.1,6,0.0
interacting,0.1,3,0.0
non_interacting,0.1,2,0.0
interacting,0.1,2,0.0
non_interacting,0.1,5,0.0
interacting,0.1,3,0.0
non_interacting,0.1,2,0.0
interacting,0.1,3,0.0
non_interacting,0.1,2,0.0
interacting,0.1,2,0.0
non_interacting,0.1,4,0.0
interacting,0.1,3,0.0
non_interacting,0.1,2,0.0
interacting,0.1,4,0.0
non_interacting,0.1,4,0.0
interacting,0.1,5,0.0
non_interacting,0.1,4,0.0
interacting,0.1,4,0.0
non_interacting,0.1,3,0.0
interacting,0.2,4,0.0
non_interacting,0.2,14,0.0
interacting,0.2,5,0.0
non_interacting,0.2,10,0.0
interacting,0.2,6,0.0
non_interacting,0.2,9,0.0
interacting,0.2,4,0.0
non_interacting,0.2,6,0.0
interacting,0.2,4,0.0
non_interacting,0.2,7,0.0
interacting,0.2,5,0.0
non_interacting,0.2,7,0.0
interacting,0.2,7,0.0
non_interacting,0.2,6,0.0
interacting,0.2,3,0.0
non_interacting,0.2,12,0.0
interacting,0.2,5,0.0
non_interacting,0.2,6,0.0
interacting,0.2,6,0.0
non_interacting,0.2,12,0.0
interacting,0.30000000000000004,9,0.0
non_interacting,0.30000000000000004,17,0.0
interacting,0.30000000000000004,8,0.0
non_interacting,0.30000000000000004,30,0.0
interacting,0.30000000000000004,5,0.0
non_interacting,0.30000000000000004,9,0.0
interacting,0.30000000000000004,11,0.0
non_interacting,0.30000000000000004,18,0.0
interacting,0.30000000000000004,8,0.0
non_interacting,0.30000000000000004,14,0.0
interacting,0.30000000000000004,11,0.0
non_interacting,0.30000000000000004,13,0.0
interacting,0.30000000000000004,9,0.0
non_interacting,0.30000000000000004,26,0.0
interacting,0.30000000000000004,10,0.0
non_interacting,0.30000000000000004,40,0.0
interacting,0.30000000000000004,17,0.0
non_interacting,0.30000000000000004,12,0.0
interacting,0.30000000000000004,15,0.0
non_interacting,0.30000000000000004,18,0.0
interacting,0.4,13,0.0
non_interacting,0.4,64,0.0
interacting,0.4,24,0.0
non_interacting,0.4,60,0.0
interacting,0.4,9,0.0
non_interacting,0.4,40,0.0
interacting,0.4,26,0.0
non_interacting,0.4,58,0.0
interacting,0.4,16,0.0
non_interacting,0.4,42,0.0
interacting,0.4,19,0.0
non_interacting,0.4,50,0.0
interacting,0.4,25,0.0
non_interacting,0.4,41,0.0
interacting,0.4,36,0.0
non_interacting,0.4,82,0.0
interacting,0.4,24,0.0
non_interacting,0.4,63,0.0
interacting,0.4,13,0.0
non_interacting,0.4,52,0.0
interacting,0.5,66,0.0
non_interacting,0.5,467,0.0
interacting,0.5,131,0.0
non_interacting,0.5,500,0.0
interacting,0.5,26,0.0
non_interacting,0.5,68,0.0
interacting,0.5,300,0.0
non_interacting,0.5,500,0.0
interacting,0.5,252,0.0
non_interacting,0.5,466,0.0
interacting,0.5,108,0.0
non_interacting,0.5,234,0.0
interacting,0.5,363,0.0
non_interacting,0.5,500,0.01
interacting,0.5,183,0.0
non_interacting,0.5,500,0.01
interacting,0.5,198,0.0
non_interacting,0.5,500,0.0
interacting,0.5,140,0.0
non_interacting,0.5,500,0.01
interacting,0.6,500,0.0
non_interacting,0.6,500,0.02
interacting,0.6,500,0.01
non_interacting,0.6,500,0.02
interacting,0.6,233,0.0
non_interacting,0.6,500,0.02
interacting,0.6,500,0.02
non_interacting,0.6,500,0.03
interacting,0.6,500,0.0
non_interacting,0.6,500,0.02
interacting,0.6,500,0.01
non_interacting,0.6,500,0.02
interacting,0.6,500,0.01
non_interacting,0.6,500,0.03
interacting,0.6,500,0.01
non_interacting,0.6,500,0.02
interacting,0.6,500,0.02
non_interacting,0.6,500,0.03
interacting,0.6,500,0.01
non_interacting,0.6,500,0.03
interacting,0.7000000000000001,500,0.04
non_interacting,0.7000000000000001,500,0.05
interacting,0.7000000000000001,500,0.03
non_interacting,0.7000000000000001,500,0.06
interacting,0.7000000000000001,500,0.03
non_interacting,0.7000000000000001,500,0.03
interacting,0.7000000000000001,500,0.05
non_interacting,0.7000000000000001,500,0.06
interacting,0.7000000000000001,500,0.04
non_interacting,0.7000000000000001,500,0.06
interacting,0.7000000000000001,500,0.04
non_interacting,0.7000000000000001,500,0.06
interacting,0.7000000000000001,500,0.04
non_interacting,0.7000000000000001,500,0.06
interacting,0.7000000000000001,500,0.02
non_interacting,0.7000000000000001,500,0.04
interacting,0.7000000000000001,500,0.05
non_interacting,0.7000000000000001,500,0.06
interacting,0.7000000000000001,500,0.05
non_interacting,0.7000000000000001,500,0.06
interacting,0.8,500,0.05
non_interacting,0.8,500,0.07
interacting,0.8,500,0.09
non_interacting,0.8,500,0.1
interacting,0.8,500,0.06
non_interacting,0.8,500,0.06
interacting,0.8,500,0.06
non_interacting,0.8,500,0.08
interacting,0.8,500,0.06
non_interacting,0.8,500,0.07
interacting,0.8,500,0.06
non_interacting,0.8,500,0.07
interacting,0.8,500,0.07
non_interacting,0.8,500,0.08
interacting,0.8,500,0.07
non_interacting,0.8,500,0.08
interacting,0.8,500,0.09
non_interacting,0.8,500,0.1
interacting,0.8,500,0.1
non_interacting,0.8,500,0.1
