error_rate,epoch
93,1
66,2
40,3
37,4
36,5
39,6
32,7
25,8
28,9
28,10
28,11
28,12
24,13
18,14
20,15
17,16
20,17
19,18
14,19
10,20
22,21
21,22
17,23
16,24
24,25
21,26
11,27
10,28
21,29
15,30
19,31
26,32
18,33
21,34
18,35
17,36
17,37
18,38
13,39
15,40
12,41
19,42
12,43
10,44
12,45
15,46
12,47
11,48
13,49
11,50
16,51
21,52
18,53
21,54
14,55
16,56
10,57
15,58
12,59
19,60
14,61
20,62
15,63
13,64
14,65
19,66
18,67
5,68
11,69
13,70
9,71
10,72
9,73
9,74
8,75
12,76
10,77
18,78
12,79
20,80
7,81
12,82
10,83
7,84
14,85
10,86
19,87
13,88
16,89
14,90
16,91
11,92
16,93
15,94
20,95
8,96
19,97
11,98
11,99
13,100
12,101
10,102
12,103
11,104
14,105
17,106
16,107
16,108
16,109
21,110
16,111
17,112
10,113
10,114
11,115
15,116
15,117
14,118
14,119
13,120
14,121
8,122
13,123
13,124
10,125
6,126
11,127
9,128
9,129
11,130
8,131
11,132
10,133
7,134
7,135
7,136
14,137
11,138
12,139
10,140
6,141
15,142
6,143
15,144
21,145
16,146
8,147
6,148
17,149
9,150
11,151
9,152
15,153
8,154
7,155
14,156
9,157
10,158
9,159
10,160
12,161
17,162
14,163
11,164
9,165
6,166
11,167
13,168
8,169
16,170
8,171
10,172
9,173
12,174
15,175
9,176
10,177
15,178
14,179
12,180
7,181
4,182
6,183
11,184
11,185
11,186
10,187
9,188
5,189
8,190
6,191
14,192
7,193
10,194
10,195
5,196
15,197
5,198
10,199
5,200
4,201
4,202
13,203
12,204
7,205
1,206
9,207
7,208
8,209
10,210
7,211
12,212
3,213
5,214
13,215
6,216
6,217
11,218
5,219
7,220
3,221
7,222
8,223
4,224
6,225
13,226
17,227
14,228
13,229
10,230
7,231
10,232
9,233
3,234
3,235
8,236
9,237
10,238
7,239
5,240
8,241
8,242
11,243
11,244
9,245
11,246
6,247
8,248
6,249
8,250
9,251
13,252
4,253
5,254
7,255
7,256
7,257
11,258
16,259
8,260
11,261
10,262
8,263
10,264
7,265
12,266
10,267
13,268
9,269
8,270
14,271
8,272
11,273
9,274
8,275
6,276
12,277
10,278
7,279
12,280
11,281
9,282
13,283
8,284
3,285
8,286
8,287
14,288
5,289
11,290
14,291
7,292
6,293
10,294
6,295
11,296
9,297
5,298
9,299
10,300
12,301
8,302
11,303
9,304
17,305
15,306
13,307
6,308
7,309
10,310
12,311
11,312
8,313
3,314
6,315
4,316
9,317
2,318
5,319
11,320
9,321
10,322
7,323
12,324
13,325
12,326
13,327
7,328
9,329
13,330
8,331
10,332
6,333
10,334
11,335
9,336
5,337
9,338
1,339
10,340
9,341
9,342
7,343
8,344
11,345
6,346
9,347
4,348
11,349
10,350
10,351
13,352
10,353
8,354
12,355
10,356
9,357
15,358
2,359
11,360
10,361
11,362
10,363
5,364
9,365
12,366
8,367
6,368
7,369
10,370
5,371
12,372
11,373
7,374
6,375
11,376
6,377
