error_rate,epoch
92,1
64,2
55,3
38,4
43,5
39,6
35,7
39,8
34,9
28,10
34,11
30,12
24,13
21,14
16,15
23,16
18,17
17,18
21,19
21,20
21,21
15,22
15,23
18,24
22,25
18,26
17,27
7,28
21,29
20,30
18,31
19,32
18,33
11,34
27,35
21,36
16,37
19,38
29,39
14,40
13,41
4,42
9,43
12,44
18,45
19,46
10,47
11,48
18,49
16,50
10,51
17,52
15,53
13,54
22,55
20,56
12,57
12,58
8,59
13,60
15,61
13,62
9,63
10,64
17,65
15,66
15,67
11,68
6,69
11,70
11,71
13,72
9,73
18,74
21,75
12,76
16,77
9,78
11,79
7,80
7,81
10,82
9,83
16,84
14,85
20,86
10,87
11,88
12,89
14,90
17,91
20,92
6,93
14,94
12,95
8,96
15,97
21,98
12,99
19,100
6,101
11,102
14,103
15,104
10,105
10,106
11,107
9,108
22,109
14,110
9,111
10,112
18,113
13,114
9,115
9,116
8,117
10,118
8,119
9,120
5,121
13,122
15,123
13,124
14,125
12,126
7,127
20,128
5,129
12,130
11,131
11,132
16,133
11,134
8,135
12,136
7,137
12,138
15,139
11,140
18,141
7,142
7,143
9,144
14,145
10,146
8,147
17,148
12,149
8,150
9,151
16,152
13,153
15,154
10,155
9,156
9,157
15,158
13,159
6,160
4,161
12,162
4,163
9,164
11,165
5,166
11,167
9,168
8,169
15,170
11,171
11,172
8,173
9,174
11,175
9,176
9,177
10,178
12,179
11,180
11,181
12,182
8,183
17,184
14,185
6,186
10,187
13,188
12,189
1,190
9,191
12,192
7,193
8,194
8,195
8,196
13,197
14,198
11,199
7,200
9,201
20,202
10,203
10,204
8,205
8,206
11,207
7,208
9,209
11,210
4,211
11,212
7,213
6,214
8,215
13,216
9,217
7,218
7,219
4,220
10,221
9,222
4,223
8,224
7,225
1,226
8,227
10,228
10,229
14,230
11,231
8,232
18,233
8,234
7,235
7,236
10,237
16,238
14,239
14,240
12,241
12,242
7,243
8,244
9,245
7,246
17,247
14,248
7,249
14,250
13,251
12,252
9,253
9,254
9,255
4,256
13,257
11,258
6,259
2,260
9,261
6,262
6,263
9,264
13,265
11,266
14,267
5,268
4,269
6,270
8,271
8,272
13,273
5,274
7,275
10,276
8,277
10,278
10,279
7,280
11,281
8,282
2,283
4,284
5,285
9,286
9,287
10,288
6,289
10,290
12,291
13,292
10,293
10,294
10,295
6,296
8,297
10,298
11,299
7,300
8,301
5,302
9,303
11,304
9,305
12,306
7,307
7,308
14,309
7,310
13,311
8,312
8,313
7,314
11,315
10,316
10,317
8,318
6,319
5,320
8,321
7,322
14,323
7,324
8,325
5,326
5,327
7,328
10,329
9,330
9,331
15,332
14,333
10,334
6,335
10,336
15,337
16,338
8,339
11,340
9,341
13,342
13,343
6,344
7,345
4,346
8,347
7,348
14,349
7,350
9,351
7,352
5,353
7,354
9,355
7,356
8,357
8,358
11,359
4,360
3,361
4,362
4,363
9,364
8,365
19,366
9,367
6,368
8,369
4,370
8,371
2,372
7,373
3,374
10,375
9,376
7,377
14,378
7,379
11,380
9,381
6,382
8,383
12,384
6,385
2,386
12,387
8,388
7,389
3,390
18,391
6,392
7,393
5,394
6,395
9,396
6,397
4,398
4,399
1,400
8,401
4,402
9,403
6,404
6,405
3,406
8,407
11,408
6,409
4,410
5,411
7,412
5,413
8,414
12,415
7,416
6,417
12,418
10,419
4,420
5,421
10,422
11,423
6,424
9,425
9,426
6,427
15,428
7,429
6,430
5,431
4,432
6,433
4,434
9,435
11,436
11,437
6,438
8,439
7,440
4,441
16,442
9,443
16,444
13,445
10,446
7,447
17,448
8,449
12,450
11,451
12,452
5,453
5,454
9,455
6,456
13,457
9,458
6,459
10,460
11,461
13,462
9,463
10,464
6,465
7,466
7,467
7,468
10,469
10,470
11,471
4,472
6,473
10,474
8,475
5,476
5,477
4,478
7,479
4,480
9,481
8,482
11,483
10,484
8,485
13,486
10,487
8,488
18,489
11,490
5,491
9,492
10,493
5,494
12,495
6,496
2,497
9,498
10,499
7,500
3,501
8,502
9,503
5,504
9,505
13,506
7,507
3,508
0,509
