type,size,iterations,time,num_replicas
interacting,100,57,1.7488272190093994,3
non_interacting,100,136,4.250154495239258,3
interacting,100,94,2.8500754833221436,3
non_interacting,100,129,4.129117965698242,3
interacting,100,97,3.012057065963745,3
non_interacting,100,189,6.021334648132324,3
interacting,100,62,2.0281221866607666,3
non_interacting,100,95,3.107250213623047,3
interacting,100,65,1.9890758991241455,3
non_interacting,100,154,4.842901706695557,3
interacting,150,218,7.006795167922974,3
non_interacting,150,466,15.026991605758667,3
interacting,150,138,4.397017955780029,3
non_interacting,150,168,5.531481981277466,3
interacting,150,165,5.209033966064453,3
non_interacting,150,449,14.211413383483887,3
interacting,150,190,5.955003499984741,3
non_interacting,150,410,12.99069595336914,3
interacting,150,147,4.653733491897583,3
non_interacting,150,290,9.352531671524048,3
interacting,200,208,6.9389448165893555,3
non_interacting,200,455,15.23161792755127,3
interacting,200,166,5.557704448699951,3
non_interacting,200,316,10.6659414768219,3
interacting,200,287,9.52177619934082,3
non_interacting,200,421,14.01998233795166,3
interacting,200,261,8.686657190322876,3
non_interacting,200,365,12.266058921813965,3
interacting,200,245,8.141208171844482,3
non_interacting,200,546,18.198829650878906,3
interacting,250,175,6.142885208129883,3
non_interacting,250,476,16.72629714012146,3
interacting,250,246,8.534227848052979,3
non_interacting,250,580,20.287850379943848,3
interacting,250,298,10.363558530807495,3
non_interacting,250,457,16.190824508666992,3
interacting,250,230,8.03745985031128,3
non_interacting,250,445,15.631415128707886,3
interacting,250,343,11.829649209976196,3
non_interacting,250,649,23.202009439468384,3
interacting,300,278,10.406943082809448,3
non_interacting,300,574,21.375935554504395,3
interacting,300,221,8.17577052116394,3
non_interacting,300,540,20.11071014404297,3
interacting,300,276,10.336542129516602,3
non_interacting,300,699,26.098676204681396,3
interacting,300,279,10.399224996566772,3
non_interacting,300,487,18.228015899658203,3
interacting,300,279,10.374070167541504,3
non_interacting,300,570,21.14482569694519,3
