type,size,iterations,time,num_replicas
interacting,100,131,3.9654953479766846,3
non_interacting,100,317,10.03853988647461,3
interacting,100,212,6.522820234298706,3
non_interacting,100,314,9.797770738601685,3
interacting,100,271,8.272844791412354,3
non_interacting,100,354,10.729288101196289,3
interacting,100,215,6.470669507980347,3
non_interacting,100,407,12.36344289779663,3
interacting,100,192,5.732595682144165,3
non_interacting,100,357,10.967276811599731,3
interacting,100,193,6.112309455871582,3
non_interacting,100,306,9.896362543106079,3
interacting,100,82,2.581482410430908,3
non_interacting,100,378,11.965805292129517,3
interacting,100,107,3.3265979290008545,3
non_interacting,100,335,10.43793249130249,3
interacting,100,165,5.0286595821380615,3
non_interacting,100,339,10.670647621154785,3
interacting,100,193,5.934560775756836,3
non_interacting,100,385,11.732396364212036,3
