type,size,iterations,time,num_replicas
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,100,,,3
non_interacting,100,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,150,,,3
non_interacting,150,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,200,,,3
non_interacting,200,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
