type,size,iterations,time,num_replicas
interacting,100,491.0,7.72705340385437,3
non_interacting,100,229.0,3.783766984939575,3
interacting,100,944.0,14.966679096221924,3
non_interacting,100,564.0,9.876031637191772,3
interacting,100,745.0,11.954026937484741,3
non_interacting,100,355.0,5.639937162399292,3
interacting,100,635.0,10.198830127716064,3
non_interacting,100,461.0,7.273283958435059,3
interacting,100,363.0,5.910381078720093,3
non_interacting,100,360.0,5.804669618606567,3
interacting,100,627.0,10.476269006729126,3
non_interacting,100,338.0,5.651921272277832,3
interacting,100,550.0,9.159119606018066,3
non_interacting,100,143.0,2.450640916824341,3
interacting,100,543.0,8.875714778900146,3
non_interacting,100,224.0,4.217936277389526,3
interacting,100,661.0,10.79848575592041,3
non_interacting,100,420.0,6.686422824859619,3
interacting,100,611.0,10.024522542953491,3
non_interacting,100,377.0,6.081691026687622,3
interacting,150,,,3
non_interacting,150,416.0,6.865752220153809,3
interacting,150,,,3
non_interacting,150,546.0,8.625709056854248,3
interacting,150,,,3
non_interacting,150,784.0,12.421269416809082,3
interacting,150,,,3
non_interacting,150,565.0,9.09803295135498,3
interacting,150,,,3
non_interacting,150,536.0,8.710453271865845,3
interacting,150,784.0,12.716684818267822,3
non_interacting,150,595.0,9.733426570892334,3
interacting,150,677.0,11.234736442565918,3
non_interacting,150,342.0,5.813979387283325,3
interacting,150,897.0,15.26537036895752,3
non_interacting,150,905.0,14.102480411529541,3
interacting,150,,,3
non_interacting,150,601.0,9.455886363983154,3
interacting,150,698.0,11.279455423355103,3
non_interacting,150,356.0,5.87953782081604,3
interacting,200,,,3
non_interacting,200,697.0,11.249584913253784,3
interacting,200,,,3
non_interacting,200,665.0,10.756255865097046,3
interacting,200,,,3
non_interacting,200,971.0,15.249095439910889,3
interacting,200,,,3
non_interacting,200,794.0,12.627461433410645,3
interacting,200,,,3
non_interacting,200,991.0,15.910433530807495,3
interacting,200,,,3
non_interacting,200,751.0,12.228881597518921,3
interacting,200,,,3
non_interacting,200,684.0,11.098808288574219,3
interacting,200,,,3
non_interacting,200,512.0,8.512165069580078,3
interacting,200,,,3
non_interacting,200,648.0,10.357345819473267,3
interacting,200,,,3
non_interacting,200,395.0,6.5467870235443115,3
interacting,250,,,3
non_interacting,250,969.0,15.931820392608643,3
interacting,250,,,3
non_interacting,250,754.0,12.810789585113525,3
interacting,250,,,3
non_interacting,250,740.0,12.507231950759888,3
interacting,250,,,3
non_interacting,250,903.0,14.759358882904053,3
interacting,250,,,3
non_interacting,250,621.0,9.760248184204102,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,829.0,12.8909592628479,3
interacting,250,,,3
non_interacting,250,,,3
interacting,250,,,3
non_interacting,250,794.0,12.517125129699707,3
interacting,250,,,3
non_interacting,250,636.0,10.114571332931519,3
interacting,300,,,3
non_interacting,300,678.0,11.212763786315918,3
interacting,300,,,3
non_interacting,300,956.0,15.547426700592041,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,702.0,11.548099279403687,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,,,3
interacting,300,,,3
non_interacting,300,814.0,13.387693166732788,3
interacting,300,,,3
non_interacting,300,670.0,11.058669328689575,3
interacting,300,,,3
non_interacting,300,633.0,10.506296634674072,3
