freq,cost,iteration
0.225,14.0,1
0.08,13.0,2
0.04,11.0,3
0.045,18.0,4
0.08,16.0,5
0.025,16.0,6
0.04,7.0,7
0.015,16.0,8
0.005,12.0,9
0.03,7.0,10
0.07,7.0,11
0.015,5.0,12
0.035,13.0,13
0.06,13.0,14
0.01,5.0,15
0.0,5.0,16
0.0,5.0,17
0.01,5.0,18
0.01,6.0,19
0.0,6.0,20
0.02,5.0,21
0.05,14.0,22
0.055,5.0,23
0.045,12.0,24
0.02,5.0,25
0.03,13.0,26
0.03,5.0,27
0.01,12.0,28
0.035,5.0,29
0.06,5.0,30
0.035,6.0,31
0.03,6.0,32
0.015,6.0,33
0.02,6.0,34
0.015,5.0,35
0.03,5.0,36
0.02,5.0,37
0.0,5.0,38
0.0,5.0,39
0.01,5.0,40
0.03,5.0,41
0.03,13.0,42
0.02,12.0,43
0.0,12.0,44
0.01,11.0,45
0.01,5.0,46
0.055,5.0,47
0.045,5.0,48
0.02,6.0,49
0.04,6.0,50
0.0,6.0,51
0.06,11.0,52
0.05,5.0,53
0.03,5.0,54
0.075,5.0,55
0.045,12.0,56
0.05,12.0,57
0.02,10.0,58
0.01,4.0,59
0.065,8.0,60
0.005,8.0,61
0.08,8.0,62
0.02,4.0,63
0.045,9.0,64
0.035,9.0,65
0.015,4.0,66
0.045,8.0,67
0.0,8.0,68
0.01,3.0,69
0.01,4.0,70
0.01,3.0,71
0.035,5.0,72
0.065,4.0,73
0.01,4.0,74
0.015,4.0,75
0.025,5.0,76
0.0,5.0,77
0.0,5.0,78
0.0,5.0,79
0.04,6.0,80
0.02,4.0,81
0.025,4.0,82
0.01,5.0,83
0.035,4.0,84
0.01,3.0,85
0.0,3.0,86
0.0,3.0,87
0.01,9.0,88
0.03,4.0,89
0.035,9.0,90
0.04,4.0,91
0.005,4.0,92
0.02,4.0,93
0.01,8.0,94
0.0,8.0,95
0.0,8.0,96
0.02,4.0,97
0.02,5.0,98
0.02,5.0,99
0.03,5.0,100
