freq,cost,iteration
0.91,22.0,1
0.92,23.0,2
0.945,21.0,3
0.915,22.0,4
0.885,18.0,5
0.9,22.0,6
0.875,22.0,7
0.84,19.0,8
0.885,24.0,9
0.91,27.0,10
0.885,23.0,11
0.87,20.0,12
0.915,31.0,13
0.85,25.0,14
0.89,26.0,15
0.875,26.0,16
0.815,26.0,17
0.815,26.0,18
0.805,21.0,19
0.815,23.0,20
0.865,26.0,21
0.77,24.0,22
0.8,24.0,23
0.85,22.0,24
0.775,22.0,25
0.795,20.0,26
0.845,21.0,27
0.805,24.0,28
0.825,32.0,29
0.765,25.0,30
0.855,24.0,31
0.785,26.0,32
0.77,23.0,33
0.84,23.0,34
0.76,24.0,35
0.795,26.0,36
0.79,20.0,37
0.82,20.0,38
0.775,17.0,39
0.745,22.0,40
0.8,25.0,41
0.76,24.0,42
0.765,20.0,43
0.75,22.0,44
0.65,24.0,45
0.71,21.0,46
0.825,19.0,47
0.75,18.0,48
0.7,26.0,49
0.73,21.0,50
0.76,32.0,51
0.72,27.0,52
0.67,26.0,53
0.65,29.0,54
0.685,21.0,55
0.72,22.0,56
0.58,22.0,57
0.745,27.0,58
0.645,24.0,59
0.605,24.0,60
0.61,23.0,61
0.54,19.0,62
0.595,20.0,63
0.695,17.0,64
0.575,15.0,65
0.67,20.0,66
0.54,27.0,67
0.685,24.0,68
0.7,25.0,69
0.77,24.0,70
0.6,23.0,71
0.565,24.0,72
0.51,23.0,73
0.64,17.0,74
0.61,18.0,75
0.585,22.0,76
0.645,20.0,77
0.51,23.0,78
0.57,25.0,79
0.585,19.0,80
0.62,18.0,81
0.57,24.0,82
0.53,23.0,83
0.63,23.0,84
0.58,17.0,85
0.635,20.0,86
0.605,25.0,87
0.485,18.0,88
0.465,19.0,89
0.515,19.0,90
0.595,22.0,91
0.55,22.0,92
0.64,22.0,93
0.42,20.0,94
0.525,21.0,95
0.62,20.0,96
0.565,16.0,97
0.44,15.0,98
0.465,23.0,99
0.46,17.0,100
0.5,17.0,101
0.51,19.0,102
0.545,16.0,103
0.35,19.0,104
0.57,19.0,105
0.475,20.0,106
0.565,28.0,107
0.53,20.0,108
0.565,19.0,109
0.53,24.0,110
0.575,23.0,111
0.45,18.0,112
0.485,14.0,113
0.55,16.0,114
0.565,23.0,115
0.59,19.0,116
0.35,15.0,117
0.365,20.0,118
0.335,18.0,119
0.55,15.0,120
0.455,20.0,121
0.58,27.0,122
0.43,14.0,123
0.525,19.0,124
0.47,18.0,125
0.425,19.0,126
0.435,11.0,127
0.5,21.0,128
0.4,23.0,129
0.4,18.0,130
0.405,19.0,131
0.26,13.0,132
0.325,18.0,133
0.485,18.0,134
0.515,18.0,135
0.39,22.0,136
0.37,18.0,137
0.4,19.0,138
0.55,25.0,139
0.385,19.0,140
0.505,24.0,141
0.19,23.0,142
0.425,19.0,143
0.33,19.0,144
0.27,20.0,145
0.375,20.0,146
0.54,21.0,147
0.49,16.0,148
0.385,17.0,149
0.295,16.0,150
0.305,16.0,151
0.4,19.0,152
0.435,16.0,153
0.265,17.0,154
0.36,20.0,155
0.43,20.0,156
0.35,18.0,157
0.48,20.0,158
0.36,23.0,159
0.36,22.0,160
0.305,18.0,161
0.245,18.0,162
0.275,20.0,163
0.45,16.0,164
0.335,15.0,165
0.345,18.0,166
0.4,19.0,167
0.45,14.0,168
0.52,17.0,169
0.385,13.0,170
0.33,18.0,171
0.37,16.0,172
0.21,16.0,173
0.26,18.0,174
0.36,16.0,175
0.455,17.0,176
0.46,16.0,177
0.385,15.0,178
0.21,13.0,179
0.08,13.0,180
0.225,14.0,181
0.245,15.0,182
0.11,14.0,183
0.17,17.0,184
0.405,16.0,185
0.32,17.0,186
0.325,16.0,187
0.33,20.0,188
0.275,16.0,189
0.33,16.0,190
0.145,14.0,191
0.2,13.0,192
0.15,17.0,193
0.255,19.0,194
0.125,15.0,195
0.16,16.0,196
0.335,13.0,197
0.275,13.0,198
0.265,18.0,199
0.15,16.0,200
0.295,13.0,201
0.23,15.0,202
0.15,14.0,203
0.05,11.0,204
0.03,9.0,205
0.0,9.0,206
0.045,9.0,207
0.145,13.0,208
0.09,11.0,209
0.12,15.0,210
0.315,16.0,211
0.195,11.0,212
0.2,17.0,213
0.31,9.0,214
0.215,9.0,215
0.245,14.0,216
0.255,20.0,217
